Index,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel,Screen-Full_HD,Screen-IPS_panel
0,Acer,4,2,1,5,12.15,0.55,8,256,3.06,978,Low,False,True,False,True
1,Dell,3,1,1,3,13.54,0.69,4,256,4.21,634,Low,True,False,True,False
2,Dell,3,1,1,7,13.54,0.93,8,256,4.21,946,Low,True,False,True,False
3,Dell,4,2,1,5,11.55,0.55,8,128,2.34,1244,Low,False,True,False,True
4,HP,4,2,1,7,13.54,0.62,8,256,3.66,837,Low,True,False,True,False
5,Dell,3,1,1,5,13.54,0.55,8,256,4.21,1016,Low,True,False,True,False
6,HP,3,3,1,5,13.54,0.55,8,256,4.02,1117,Low,True,False,True,False
7,Acer,3,2,1,5,13.02,0.55,4,256,4.21,866,Low,False,True,False,True
8,Dell,3,1,1,5,13.54,0.86,4,256,4.4,812,Low,True,False,True,False
9,Acer,3,3,1,7,13.02,0.62,8,256,4.21,1068,Low,False,True,False,True
10,Dell,3,1,1,7,13.54,0.62,8,256,4.08,975,Low,True,False,True,False
11,HP,3,2,1,3,13.54,0.69,4,128,3.66,558,Low,True,False,True,False
12,Asus,3,2,2,3,13.54,0.69,4,256,3.83,527,Low,True,False,True,False
13,Dell,4,2,1,5,12.15,0.55,8,256,3.25,1117,Low,True,False,True,False
14,Asus,3,2,1,5,12.15,0.55,8,256,2.68,1195,Low,True,False,True,False
15,HP,3,2,1,5,13.54,0.86,8,256,3.56,876,Low,True,False,True,False
16,Dell,4,1,1,7,11.29,0.62,8,256,2.68,1213,Low,False,True,False,True
17,Dell,3,1,1,7,13.54,0.62,8,256,4.21,1105,Low,True,False,True,False
18,Dell,4,2,1,5,13.02,0.55,8,256,3.6,1392,Low,False,True,False,True
19,HP,3,2,1,5,12.15,0.55,8,256,3.12,1092,Low,True,False,True,False
20,HP,4,3,1,7,13.02,0.62,8,256,3.5,888,Low,False,True,False,True
21,HP,3,2,1,5,13.54,0.86,8,256,3.75,761,Low,True,False,True,False
22,Dell,4,2,1,7,11.29,0.62,8,256,2.32,2095,Medium,False,True,False,True
23,Dell,1,3,1,5,13.54,0.86,8,256,5.07,1518,Low,True,False,True,False
24,Asus,4,2,1,7,12.15,0.93,8,256,2.39,1333,Low,True,False,True,False
25,Dell,3,1,2,3,13.54,0.69,4,256,4.21,616,Low,True,False,True,False
26,Asus,3,3,1,3,13.54,0.83,6,256,3.83,733,Low,True,False,True,False
